Report_Year,Period,Rank,Location_Name,Latitude,Longitude,Geocoded_Location_Match,Category,Google_Maps_URL
2020,2018-2020,11,"Intersection of V N Purav Marg and Ramkrishna Chemburkar Marg, Chembur",19.053721,72.89522,"VN Purav Marg, Chembur (approx.)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.053721,72.895220"
2020,2018-2020,12,"Mulund Airoli Interchange, Mulund East",19.150749,72.980409,Airoli Bridge (approx.),Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.150749,72.980409"
2020,2018-2020,13,"Intersection of Western Express Highway and Jogeshwari - Vikhroli Link Road, Joeshwari East",19.1361821,72.848936,Jogeshwari (approx.),Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.136182,72.848936"
2020,2018-2020,14,"Intersection of Jogeshwari - Vikhroli Link Road and Reserved Forces Camp Road, Andheri East",19.1281666,72.8877504,"JVLR & Reserved Forces Camp Road intersection, Powai",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.128167,72.887750"
2020,2018-2020,15,"Intersection of Eastern Express Highway and VN Purav Marg, Chembur",19.054223,72.89333,"Chembur Naka, VN Purav Marg",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.054223,72.893330"
2021,2019-2021,1,IIT Main Gate Junction,19.1320455,72.9137344,"IIT Bombay (campus centroid, approx.)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.132046,72.913734"
2021,2019-2021,2,Amar Mahal Junction Tilak Nagar Ghatkopar,19.06576,72.8997092,Amar Mahal Junction Flyover,Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.065760,72.899709"
2021,2019-2021,3,Intersection of Eastern Free Way Sant Savata Marg,19.0075745,72.8582864,Eastern Freeway (approx.),Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.007575,72.858286"
2021,2019-2021,4,Intersection of Sant Rohidas Marg and Dharavi Depot,19.0481829,72.8563648,Dharavi Depot Road & Sant Rohidas Marg,Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.048183,72.856365"
2021,2019-2021,5,Intersection of Eastern Express Highway and Goregaon Mulund Link Road,19.1636997,72.8850655,Goregaon-Mulund Link Road Tunnel (approx.),Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.163700,72.885065"
2021,2019-2021,6,Priyadarshini Junction,19.052575,72.879388,"Priyadarshini, Chunabhatti",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.052575,72.879388"
2021,2019-2021,7,Intersection of JVLR and Eastern Express Highway,19.1283227,72.9281371,Kanjurmarg (approx.),Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.128323,72.928137"
2021,2019-2021,8,Intersection of LBS road & Santacruz Chembur Link Road,19.0733298,72.8683505,Santacruz-Chembur Link Road (approx.),Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.073330,72.868351"
2021,2019-2021,9,Intersection of Dr. Anandrao Nair Marg and Jehangir Boman Behram Marg,19.0072,72.8365,"Central Mumbai (approx., not individually geocoded)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.007200,72.836500"
2021,2019-2021,10,Intersection of Western Express Highway and Akurli Road,19.2090329,72.8671866,Kandivali East (approx.),Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.209033,72.867187"
2021,2019-2021,11,Dr. Kashinath Ghanekar Chowk Prabhadevi,19.0075159,72.8359669,"Prabhadevi (approx., named venue in Thane was excluded)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.007516,72.835967"
2021,2019-2021,12,Intersection Kamlakar Pant Walawalkar Marg and P Tandon Marg,19.153388,72.828846,"Kamlakar Pant Walawalkar Udyan, Andheri West (approx.)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.153388,72.828846"
2021,2019-2021,13,Intersection of Western Express Highway and Mathuradas Vasanji Road,19.115875,72.85648,"WEH Metro Station, Andheri East (approx.)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.115875,72.856480"
2021,2019-2021,14,Intersection of Sion Panvel Highway and Eastern Freeway (Shivaji Chowk),19.0461251,72.9094019,"Sion-Panvel Hwy & Chatrapati Shivaji Maharaj Chowk, Chembur",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.046125,72.909402"
2021,2019-2021,15,Intersection of Sion Panvel Highway and Ghatkopar Mankhurd Link Road,19.0491344,72.9311181,Mankhurd Station Flyover (Sion-Panvel Expy),Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.049134,72.931118"
2022,2020-2022,1,"Amar Mahal Junction, Tilak Nagar, Ghatkopar",19.06576,72.8997092,Amar Mahal Junction Flyover,Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.065760,72.899709"
2022,2020-2022,2,"Worli Seaface Junction, Worli",19.0048061,72.8136097,"Khan Abdul Gaffar Khan Road, Worli (approx.)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.004806,72.813610"
2022,2020-2022,3,"Intersection of Sion Panvel Highway and Ghatkopar Mankhurd Link Road, Mankhurd",19.0491344,72.9311181,Mankhurd Station Flyover (Sion-Panvel Expy),Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.049134,72.931118"
2022,2020-2022,4,Intersection of Sant Rohidas Marg and Dharavi Depot,19.0481829,72.8563648,Dharavi Depot Road & Sant Rohidas Marg,Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.048183,72.856365"
2022,2020-2022,5,Priyadarshini Junction,19.052575,72.879388,"Priyadarshini, Chunabhatti",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.052575,72.879388"
2022,2020-2022,6,"Ovaripada Metro Station Junction, Borivali",19.243269,72.864199,"Ovaripada Metro Station, Borivali East",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.243269,72.864199"
2022,2020-2022,7,IIT Main Gate Junction,19.1320455,72.9137344,"IIT Bombay (campus centroid, approx.)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.132046,72.913734"
2022,2020-2022,8,"Intersection of JVLR and Eastern Express highway, Vikhroli",19.1283227,72.9281371,Kanjurmarg (approx.),Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.128323,72.928137"
2022,2020-2022,9,"Intersection of WEH and 90 feet Road, Dattani Park junction, Kandivali",19.2123194,72.8688542,"Dattani Park, Thakur Village, Kandivali East",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.212319,72.868854"
2022,2020-2022,10,Intersection Kamlakar Pant Walawalkar Marg and P Tandon Marg,19.153388,72.828846,"Kamlakar Pant Walawalkar Udyan, Andheri West (approx.)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.153388,72.828846"
2022,2020-2022,11,Dr. Kashinath Ghanekar Chowk Prabhadevi,19.0075159,72.8359669,"Prabhadevi (approx., named venue in Thane was excluded)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.007516,72.835967"
2022,2020-2022,12,Intersection of LBS road & Santacruz Chembur Link Road,19.0733298,72.8683505,Santacruz-Chembur Link Road (approx.),Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.073330,72.868351"
2022,2020-2022,13,Intersection of Sion Panvel Highway and Eastern Free Way (Shivaji Chowk),19.0461251,72.9094019,"Sion-Panvel Hwy & Chatrapati Shivaji Maharaj Chowk, Chembur",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.046125,72.909402"
2022,2020-2022,14,"Intersection of WEH and Dattapada Road, Magathane depot junction, Borivali",19.2202063,72.8666866,"Magathane Depot, Borivali East",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.220206,72.866687"
2022,2020-2022,15,Intersection of Western Express Highway and Mathuradas Vasanji Road,19.115875,72.85648,"WEH Metro Station, Andheri East (approx.)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.115875,72.856480"
2023,2021-2023,1,Intersection of Sion Panvel Highway and Ghatkopar - Mankhurd Link Road,19.0491344,72.9311181,Mankhurd Station Flyover (Sion-Panvel Expy),Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.049134,72.931118"
2023,2021-2023,2,"Worli Seaface Junction, Worli",19.0048061,72.8136097,"Khan Abdul Gaffar Khan Road, Worli (approx.)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.004806,72.813610"
2023,2021-2023,3,"Amar Mahal Junction, Tilak Nagar, Ghatkopar",19.06576,72.8997092,Amar Mahal Junction Flyover,Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.065760,72.899709"
2023,2021-2023,4,Priyadarshini Junction,19.052575,72.879388,"Priyadarshini, Chunabhatti",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.052575,72.879388"
2023,2021-2023,5,"WEH near Dattani Park Bus Stop, Kandivali East",19.2123194,72.8688542,"Dattani Park, Thakur Village, Kandivali East",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.212319,72.868854"
2023,2021-2023,6,"Baiganwadi Signal Junction, Deonar",19.0607488,72.9274733,"Baiganwadi, Govandi (approx.)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.060749,72.927473"
2023,2021-2023,7,"Intersection of EEH and JVLR, Kanjurmarg East",19.1283227,72.9281371,Kanjurmarg (approx.),Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.128323,72.928137"
2023,2021-2023,8,Sion Circle Junction,19.0426668,72.8635441,Sion Circle,Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.042667,72.863544"
2023,2021-2023,9,"Sanjay Gandhi National Park Junction, Borivali East",19.2204535,72.9128422,"Sanjay Gandhi National Park (park centroid, approx.)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.220454,72.912842"
2023,2021-2023,10,Intersection WEH and Thakur village road Kandivali East,19.214114,72.8684818,"Thakur Village, Kandivali East (approx.)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.214114,72.868482"
2023,2021-2023,11,"Gundavali Bus Stop, Andheri East",19.11116,72.8534414,"Gundavali Bus Stop, Andheri East",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.111160,72.853441"
2023,2021-2023,12,"Narayan Bodhe Chowk, EEH, Vikhroli East",19.1027579,72.9286321,"Vikhroli East (approx., not individually geocoded)",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.102758,72.928632"
2023,2021-2023,13,Sonapur Signal Crossing,19.1637634,72.9376806,"Sonapur Signal Crossing, Bhandup West",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.163763,72.937681"
2023,2021-2023,14,Intersection of LBS Marg and AGLR Ext. Road (near Shreyas bus stop) (on LBS),19.0733298,72.8683505,Santacruz-Chembur Link Road area (approx.),Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.073330,72.868351"
2023,2021-2023,15,Intersection of New Link road and Yogi Nagar Marg,19.235068,72.8404955,"Yogi Nagar Marg & New Link Road, Borivali West",Pedestrian Hit and Run Blackspot,"https://www.google.com/maps?q=19.235068,72.840496"
2020,2018-2020,1,"Amar Mahal junction, Tilak Nagar, Ghatkopar East",19.06576,72.8997092,Amar Mahal Junction Flyover,High Risk Junction,"https://www.google.com/maps?q=19.065760,72.899709"
2020,2018-2020,2,"Godrej Junction, Pirojshanagar, Vikhroli",19.1027579,72.9286321,"Godrej Road, Pirojshanagar, Vikhroli East",High Risk Junction,"https://www.google.com/maps?q=19.102758,72.928632"
2020,2018-2020,3,"Intersection of EEH and JVLR, Kanjurmarg East",19.1283227,72.9281371,Kanjurmarg (approx.),High Risk Junction,"https://www.google.com/maps?q=19.128323,72.928137"
2020,2018-2020,4,"Intersection of EEH and Mulund - Airoli Link Road, Mulund East",19.150749,72.980409,Airoli Bridge (approx.),High Risk Junction,"https://www.google.com/maps?q=19.150749,72.980409"
2020,2018-2020,5,"Intersection of WEH and JVLR, Jogeshwari East",19.1361821,72.848936,Jogeshwari (approx.),High Risk Junction,"https://www.google.com/maps?q=19.136182,72.848936"
2020,2018-2020,6,"Intersection of WEH and SD Mandir Road, Bandra East",19.0612657,72.848503,"SD Mandir Road, Bandra East",High Risk Junction,"https://www.google.com/maps?q=19.061266,72.848503"
2020,2018-2020,7,"Intersection of WEH and KC Marg, Bandra West",19.0696559,72.8470886,Bandra East (approx.),High Risk Junction,"https://www.google.com/maps?q=19.069656,72.847089"
2020,2018-2020,8,"Intersection of WEH and Nehru Road, Santacruz East",19.0801715,72.8495237,"Vakola Bridge, Nehru Rd, Santacruz East (approx.)",High Risk Junction,"https://www.google.com/maps?q=19.080171,72.849524"
2020,2018-2020,9,"Intersection of WEH and Sion - Bandra Link Road, Bandra East",19.0544597,72.848699,"Kalanagar Road, Bandra East",High Risk Junction,"https://www.google.com/maps?q=19.054460,72.848699"
2020,2018-2020,10,"Intersection of EEH and Sion Station Road, Sion East",19.0465102,72.8632615,Sion Railway Station (approx.),High Risk Junction,"https://www.google.com/maps?q=19.046510,72.863261"
2020,2018-2020,11,"Intersection of EEH and Andheri - Ghatkopar Link Road, Ghatkopar East",19.0884935,72.9178346,Ghatkopar-Andheri Link Road Bridge,High Risk Junction,"https://www.google.com/maps?q=19.088493,72.917835"
2020,2018-2020,12,"Intersection of EEH and RL Kelakar Road, Sion Circle",19.0426668,72.8635441,Sion Circle,High Risk Junction,"https://www.google.com/maps?q=19.042667,72.863544"
2020,2018-2020,13,Intersection of Eastern Freeway and Ghatkopar - Mankhurd Link Road,19.0075745,72.8582864,"Eastern Freeway, Wadala (approx.)",High Risk Junction,"https://www.google.com/maps?q=19.007575,72.858286"
2020,2018-2020,14,Intersection of VN Purav and Ghatkopar - Mankhurd Link Road,19.0509054,72.9363071,"Mankhurd Bridge, VN Purav Marg (approx.)",High Risk Junction,"https://www.google.com/maps?q=19.050905,72.936307"
2020,2018-2020,15,"Intersection of WEH and Ananta Kanekar Marg, Bandra East",19.055379,72.844793,"Anant Kanekar Marg, BKC, Bandra East",High Risk Junction,"https://www.google.com/maps?q=19.055379,72.844793"
2021,2019-2021,1,"Amar Mahal Junction, Tilak Nagar, Ghatkopar",19.06576,72.8997092,Amar Mahal Junction Flyover,High Risk Junction,"https://www.google.com/maps?q=19.065760,72.899709"
2021,2019-2021,2,"Intersection of EEH and JVLR, Kanjurmarg East",19.1283227,72.9281371,Kanjurmarg (approx.),High Risk Junction,"https://www.google.com/maps?q=19.128323,72.928137"
2021,2019-2021,3,"Intersection of WEH and Sion Bandra Link Road (Kalanagar Junction), Bandra East",19.0544597,72.848699,"Kalanagar Road, Bandra East",High Risk Junction,"https://www.google.com/maps?q=19.054460,72.848699"
2021,2019-2021,4,Intersection of WEH and Jawaharlal Nehru Road,19.0801715,72.8495237,"Vakola Bridge, Nehru Rd, Santacruz East (approx.)",High Risk Junction,"https://www.google.com/maps?q=19.080171,72.849524"
2021,2019-2021,5,Intersection Of Ghatkopar Andheri Link Road and Eastern Express Highway,19.0884935,72.9178346,Ghatkopar-Andheri Link Road Bridge,High Risk Junction,"https://www.google.com/maps?q=19.088493,72.917835"
2021,2019-2021,6,Priyadarshini Junction,19.052575,72.879388,"Priyadarshini, Chunabhatti",High Risk Junction,"https://www.google.com/maps?q=19.052575,72.879388"
2021,2019-2021,7,Intersection of WEH and JVLR,19.1361821,72.848936,Jogeshwari (approx.),High Risk Junction,"https://www.google.com/maps?q=19.136182,72.848936"
2021,2019-2021,8,Intersection of Eastern Freeway and Ghatkopar - Mankhurd Link road,19.0075745,72.8582864,"Eastern Freeway, Wadala (approx.)",High Risk Junction,"https://www.google.com/maps?q=19.007575,72.858286"
2021,2019-2021,9,Sion Circle Junction,19.0426668,72.8635441,Sion Circle,High Risk Junction,"https://www.google.com/maps?q=19.042667,72.863544"
2021,2019-2021,10,Intersection of WEH and Akurli Road,19.2090329,72.8671866,Kandivali East (approx.),High Risk Junction,"https://www.google.com/maps?q=19.209033,72.867187"
2021,2019-2021,11,Intersection of WEH and Goregaon Mulund Link Road,19.1636997,72.8850655,Goregaon-Mulund Link Rd Tunnel (approx.),High Risk Junction,"https://www.google.com/maps?q=19.163700,72.885065"
2021,2019-2021,12,"King Circle Junction, Matunga",19.0267549,72.854773,"Kings Circle, Matunga East",High Risk Junction,"https://www.google.com/maps?q=19.026755,72.854773"
2021,2019-2021,13,Intersection of WEH and N.S.Phadake Marg,19.115875,72.85648,Andheri East (approx.),High Risk Junction,"https://www.google.com/maps?q=19.115875,72.856480"
2021,2019-2021,14,Intersection of Santacruz Chembur Link Road and LBS Road,19.0733298,72.8683505,Santacruz-Chembur Link Road (approx.),High Risk Junction,"https://www.google.com/maps?q=19.073330,72.868351"
2021,2019-2021,15,Intersection of Sion Panvel Highway and Ghatkopar - Mankhurd Link Road,19.0491344,72.9311181,Mankhurd Station Flyover (Sion-Panvel Expy),High Risk Junction,"https://www.google.com/maps?q=19.049134,72.931118"
2022,2020-2022,1,Intersection of WEH and Sion Bandra Link Road (Kalanagar Junction),19.0544597,72.848699,"Kalanagar Road, Bandra East",High Risk Junction,"https://www.google.com/maps?q=19.054460,72.848699"
2022,2020-2022,2,Amar Mahal Junction Tilak Nagar Ghatkopar,19.06576,72.8997092,Amar Mahal Junction Flyover,High Risk Junction,"https://www.google.com/maps?q=19.065760,72.899709"
2022,2020-2022,3,Intersection of JVLR and Eastern Express highway,19.1283227,72.9281371,Kanjurmarg (approx.),High Risk Junction,"https://www.google.com/maps?q=19.128323,72.928137"
2022,2020-2022,4,Intersection of WEH and Jawaharlal Neharu Road,19.0801715,72.8495237,"Vakola Bridge, Nehru Rd, Santacruz East (approx.)",High Risk Junction,"https://www.google.com/maps?q=19.080171,72.849524"
2022,2020-2022,5,Intersection Of Ghatkopar Andheri Link Road and Eastern Express Highway,19.0884935,72.9178346,Ghatkopar-Andheri Link Road Bridge,High Risk Junction,"https://www.google.com/maps?q=19.088493,72.917835"
2022,2020-2022,6,Intersection of Sion Panvel Highway and Ghatkopar Mankhurd Link Road,19.0491344,72.9311181,Mankhurd Station Flyover (Sion-Panvel Expy),High Risk Junction,"https://www.google.com/maps?q=19.049134,72.931118"
2022,2020-2022,7,Intersection of Ghatkopar Mankhurd Link road and Eastern Freeway,19.0075745,72.8582864,"Eastern Freeway, Wadala (approx.)",High Risk Junction,"https://www.google.com/maps?q=19.007575,72.858286"
2022,2020-2022,8,Sion Circle Junction (Rani Laxmi Bai Udyan),19.0426668,72.8635441,Sion Circle,High Risk Junction,"https://www.google.com/maps?q=19.042667,72.863544"
2022,2020-2022,9,Priyadarshini Junction,19.052575,72.879388,"Priyadarshini, Chunabhatti",High Risk Junction,"https://www.google.com/maps?q=19.052575,72.879388"
2022,2020-2022,10,Intersection of JVLR and Western Express highway,19.1361821,72.848936,Jogeshwari (approx.),High Risk Junction,"https://www.google.com/maps?q=19.136182,72.848936"
2022,2020-2022,11,Intersection of WEH and Akurli Road,19.2090329,72.8671866,Kandivali East (approx.),High Risk Junction,"https://www.google.com/maps?q=19.209033,72.867187"
2022,2020-2022,12,Sanjay Ghandhi National Park Junction,19.2204535,72.9128422,"Sanjay Gandhi National Park (park centroid, approx.)",High Risk Junction,"https://www.google.com/maps?q=19.220454,72.912842"
2022,2020-2022,13,Intersection of Goregaon Mulund Link Road and Western Express Highway,19.1636997,72.8850655,Goregaon-Mulund Link Rd Tunnel (approx.),High Risk Junction,"https://www.google.com/maps?q=19.163700,72.885065"
2022,2020-2022,14,Intersection of WEH and N.S.Phadake Marg,19.115875,72.85648,Andheri East (approx.),High Risk Junction,"https://www.google.com/maps?q=19.115875,72.856480"
2022,2020-2022,15,"King Circle Junction, Matunga",19.0267549,72.854773,"Kings Circle, Matunga East",High Risk Junction,"https://www.google.com/maps?q=19.026755,72.854773"
2023,2021-2023,1,"Intersection of WEH and Sion Bandra Link Road (Kalanagar Junction), Bandra East",19.0544597,72.848699,"Kalanagar Road, Bandra East",High Risk Junction,"https://www.google.com/maps?q=19.054460,72.848699"
2023,2021-2023,2,"Baiganwadi Signal Junction, Deonar, Mumbai",19.0607488,72.9274733,"Baiganwadi, Govandi (approx.)",High Risk Junction,"https://www.google.com/maps?q=19.060749,72.927473"
2023,2021-2023,3,"Intersection of WEH and Jawaharlal Nehru Road, Santacruz East",19.0801715,72.8495237,"Vakola Bridge, Nehru Rd, Santacruz East (approx.)",High Risk Junction,"https://www.google.com/maps?q=19.080171,72.849524"
2023,2021-2023,4,"Towards Sea Link, Mahim Cause Way Junction, Near Bandra Chowky, U-Bridge, WEH",19.0445203,72.8381418,Mahim Causeway,High Risk Junction,"https://www.google.com/maps?q=19.044520,72.838142"
2023,2021-2023,5,"Intersection of Sion Panvel Highway and Ghatkopar - Mankhurd Link Road, Mankhurd",19.0491344,72.9311181,Mankhurd Station Flyover (Sion-Panvel Expy),High Risk Junction,"https://www.google.com/maps?q=19.049134,72.931118"
2023,2021-2023,6,"Amar Mahal Junction, Tilak Nagar Ghatkopar",19.06576,72.8997092,Amar Mahal Junction Flyover,High Risk Junction,"https://www.google.com/maps?q=19.065760,72.899709"
2023,2021-2023,7,"Kherwadi Junction Signal, After Bus Stop of Kherwadi, WEH, Bandra East",19.061986,72.846373,"Kherwadi Junction / 40 Number Bus Stop, WEH, Bandra East",High Risk Junction,"https://www.google.com/maps?q=19.061986,72.846373"
2023,2021-2023,8,"Intersection of EEH and JVLR, Kanjurmarg East",19.1283227,72.9281371,Kanjurmarg (approx.),High Risk Junction,"https://www.google.com/maps?q=19.128323,72.928137"
2023,2021-2023,9,"Intersection of WEH and JVLR, Jogeshwari East",19.1361821,72.848936,Jogeshwari (approx.),High Risk Junction,"https://www.google.com/maps?q=19.136182,72.848936"
2023,2021-2023,10,"Intersection of Sion Bandra Link Road and BKC Main Road, Bandra East",19.0526399,72.8474049,BKC Road & Sion-Bandra Link Road,High Risk Junction,"https://www.google.com/maps?q=19.052640,72.847405"
2023,2021-2023,11,"Sion Circle Junction, Sion",19.0426668,72.8635441,Sion Circle,High Risk Junction,"https://www.google.com/maps?q=19.042667,72.863544"
2023,2021-2023,12,"Sanjay Gandhi National Park Junction, Borivali East",19.2204535,72.9128422,"Sanjay Gandhi National Park (park centroid, approx.)",High Risk Junction,"https://www.google.com/maps?q=19.220454,72.912842"
2023,2021-2023,13,"Chedda nagar junction, Ghatkopar East",19.0663235,72.905441,"Road No. 4, Chedda Nagar (approx.)",High Risk Junction,"https://www.google.com/maps?q=19.066323,72.905441"
2023,2021-2023,14,Intersection of SV Road and Ram Mandir Road,19.1523151,72.8445866,"Swami Vivekanand Rd & Ram Mandir Rd, Goregaon West",High Risk Junction,"https://www.google.com/maps?q=19.152315,72.844587"
2023,2021-2023,15,Intersection of Lady Jamshedji road and Old Cadel Road,19.042809,72.8402334,"Lady Jamshedji Rd & Old Cadel Rd, Mahim",High Risk Junction,"https://www.google.com/maps?q=19.042809,72.840233"
2023,2021-2023,16,Intersection of Eastern Freeway and Ghatkopar - Mankhurd Link Road,19.0075745,72.8582864,"Eastern Freeway, Wadala (approx.)",High Risk Junction,"https://www.google.com/maps?q=19.007575,72.858286"
2023,2021-2023,17,"Priyadarshini Junction, Chunabhatti",19.052575,72.879388,"Priyadarshini, Chunabhatti",High Risk Junction,"https://www.google.com/maps?q=19.052575,72.879388"
2023,2021-2023,18,"Godrej Ghodagate Signal, Thane- Mumbai Way, Vikhroli East",19.1027579,72.9286321,"Godrej Road, Pirojshanagar, Vikhroli East",High Risk Junction,"https://www.google.com/maps?q=19.102758,72.928632"
2023,2021-2023,19,"Intersection of WEH and Nehru Road, Vile parle East",19.0973098,72.8538396,Vile Parle East (approx.),High Risk Junction,"https://www.google.com/maps?q=19.097310,72.853840"
2023,2021-2023,20,"Veer Kotwal Udyan chowk, Dadar west",19.0215301,72.8422421,"Veer Kotwal Udyan Chowk, Dadar West",High Risk Junction,"https://www.google.com/maps?q=19.021530,72.842242"
2019,2017-2019,1,Ghatkopar Mahul Road,19.0335958,72.8960583,"Mahul Road, Chembur (approx.)",High Risk Corridor,"https://www.google.com/maps?q=19.033596,72.896058"
2019,2017-2019,2,Balasaheb Thackeray Flyover,19.1394323,72.8518296,Balasaheb Thackeray Flyover,High Risk Corridor,"https://www.google.com/maps?q=19.139432,72.851830"
2019,2017-2019,3,Vasantdada Patil Marg,19.0889865,72.9171612,Vasantdada Patil Marg,High Risk Corridor,"https://www.google.com/maps?q=19.088987,72.917161"
2019,2017-2019,4,Mulund - Airoli Link Road,19.1545844,72.9576585,Mulund-Airoli Road,High Risk Corridor,"https://www.google.com/maps?q=19.154584,72.957658"
2019,2017-2019,5,Bandra Kurla Complex Road,19.0622141,72.8596018,Bandra Kurla Complex Road,High Risk Corridor,"https://www.google.com/maps?q=19.062214,72.859602"
2019,2017-2019,6,J.J. Flyover,18.9538372,72.833344,JJ Flyover,High Risk Corridor,"https://www.google.com/maps?q=18.953837,72.833344"
2019,2017-2019,7,Western Express Highway,19.1552103,72.856937,Western Express Highway,High Risk Corridor,"https://www.google.com/maps?q=19.155210,72.856937"
